0,1,2,3,4,5,6,7,8,9,10
157.0,Patrick,Sully,PSULLY,011.44.1345.929268,2004-03-04,SA_REP,9500.0,0.35,146.0,80.0
158.0,Allan,McEwen,AMCEWEN,011.44.1345.829268,2004-08-01,SA_REP,9000.0,0.35,146.0,80.0
159.0,Lindsey,Smith,LSMITH,011.44.1345.729268,2005-03-10,SA_REP,8000.0,0.3,146.0,80.0
160.0,Louise,Doran,LDORAN,011.44.1345.629268,2005-12-15,SA_REP,7500.0,0.3,146.0,80.0
161.0,Sarath,Sewall,SSEWALL,011.44.1345.529268,2006-11-03,SA_REP,7000.0,0.25,146.0,80.0
162.0,Clara,Vishney,CVISHNEY,011.44.1346.129268,2005-11-11,SA_REP,10500.0,0.25,147.0,80.0
163.0,Danielle,Greene,DGREENE,011.44.1346.229268,2007-03-19,SA_REP,9500.0,0.15,147.0,80.0
164.0,Mattea,Marvins,MMARVINS,011.44.1346.329268,2008-01-24,SA_REP,7200.0,0.1,147.0,80.0
165.0,David,Lee,DLEE,011.44.1346.529268,2008-02-23,SA_REP,6800.0,0.1,147.0,80.0
166.0,Sundar,Ande,SANDE,011.44.1346.629268,2008-03-24,SA_REP,6400.0,0.1,147.0,80.0
167.0,Amit,Banda,ABANDA,011.44.1346.729268,2008-04-21,SA_REP,6200.0,0.1,147.0,80.0
168.0,Lisa,Ozer,LOZER,011.44.1343.929268,2005-03-11,SA_REP,11500.0,0.25,148.0,80.0
169.0,Harrison,Bloom,HBLOOM,011.44.1343.829268,2006-03-23,SA_REP,10000.0,0.2,148.0,80.0
170.0,Tayler,Fox,TFOX,011.44.1343.729268,2006-01-24,SA_REP,9600.0,0.2,148.0,80.0
171.0,William,Smith,WSMITH,011.44.1343.629268,2007-02-23,SA_REP,7400.0,0.15,148.0,80.0
172.0,Elizabeth,Bates,EBATES,011.44.1343.529268,2007-03-24,SA_REP,7300.0,0.15,148.0,80.0
173.0,Sundita,Kumar,SKUMAR,011.44.1343.329268,2008-04-21,SA_REP,6100.0,0.1,148.0,80.0
174.0,Ellen,Abel,EABEL,011.44.1644.429267,2004-05-11,SA_REP,11000.0,0.3,149.0,80.0
175.0,Alyssa,Hutton,AHUTTON,011.44.1644.429266,2005-03-19,SA_REP,8800.0,0.25,149.0,80.0
176.0,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,2006-03-24,SA_REP,8600.0,0.2,149.0,80.0
177.0,Jack,Livingston,JLIVINGS,011.44.1644.429264,2006-04-23,SA_REP,8400.0,0.2,149.0,80.0
178.0,Kimberely,Grant,KGRANT,011.44.1644.429263,2007-05-24,SA_REP,7000.0,0.15,149.0,
179.0,Charles,Johnson,CJOHNSON,011.44.1644.429262,2008-01-04,SA_REP,6200.0,0.1,149.0,80.0
180.0,Winston,Taylor,WTAYLOR,650.507.9876,2006-01-24,SH_CLERK,3200.0,,120.0,50.0
181.0,Jean,Fleaur,JFLEAUR,650.507.9877,2006-02-23,SH_CLERK,3100.0,,120.0,50.0
182.0,Martha,Sullivan,MSULLIVA,650.507.9878,2007-06-21,SH_CLERK,2500.0,,120.0,50.0
183.0,Girard,Geoni,GGEONI,650.507.9879,2008-02-03,SH_CLERK,2800.0,,120.0,50.0
184.0,Nandita,Sarchand,NSARCHAN,650.509.1876,2004-01-27,SH_CLERK,4200.0,,121.0,50.0
185.0,Alexis,Bull,ABULL,650.509.2876,2005-02-20,SH_CLERK,4100.0,,121.0,50.0
186.0,Julia,Dellinger,JDELLING,650.509.3876,2006-06-24,SH_CLERK,3400.0,,121.0,50.0
187.0,Anthony,Cabrio,ACABRIO,650.509.4876,2007-02-07,SH_CLERK,3000.0,,121.0,50.0
188.0,Kelly,Chung,KCHUNG,650.505.1876,2005-06-14,SH_CLERK,3800.0,,122.0,50.0
189.0,Jennifer,Dilly,JDILLY,650.505.2876,2005-08-13,SH_CLERK,3600.0,,122.0,50.0
190.0,Timothy,Gates,TGATES,650.505.3876,2006-07-11,SH_CLERK,2900.0,,122.0,50.0
191.0,Randall,Perkins,RPERKINS,650.505.4876,2007-12-19,SH_CLERK,2500.0,,122.0,50.0
192.0,Sarah,Bell,SBELL,650.501.1876,2004-02-04,SH_CLERK,4000.0,,123.0,50.0
193.0,Britney,Everett,BEVERETT,650.501.2876,2005-03-03,SH_CLERK,3900.0,,123.0,50.0
194.0,Samuel,McCain,SMCCAIN,650.501.3876,2006-07-01,SH_CLERK,3200.0,,123.0,50.0
195.0,Vance,Jones,VJONES,650.501.4876,2007-03-17,SH_CLERK,2800.0,,123.0,50.0
196.0,Alana,Walsh,AWALSH,650.507.9811,2006-04-24,SH_CLERK,3100.0,,124.0,50.0
197.0,Kevin,Feeney,KFEENEY,650.507.9822,2006-05-23,SH_CLERK,3000.0,,124.0,50.0
198.0,Donald,OConnell,DOCONNEL,650.507.9833,2007-06-21,SH_CLERK,2600.0,,124.0,50.0
199.0,Douglas,Grant,DGRANT,650.507.9844,2008-01-13,SH_CLERK,2600.0,,124.0,50.0
200.0,Jennifer,Whalen,JWHALEN,515.123.4444,2003-09-17,AD_ASST,4400.0,,101.0,10.0
201.0,Michael,Hartstein,MHARTSTE,515.123.5555,2004-02-17,MK_MAN,13000.0,,100.0,20.0
202.0,Pat,Fay,PFAY,603.123.6666,2005-08-17,MK_REP,6000.0,,201.0,20.0
203.0,Susan,Mavris,SMAVRIS,515.123.7777,2002-06-07,HR_REP,6500.0,,101.0,40.0
204.0,Hermann,Baer,HBAER,515.123.8888,2002-06-07,PR_REP,10000.0,,101.0,70.0
205.0,Shelley,Higgins,SHIGGINS,515.123.8080,2002-06-07,AC_MGR,12008.0,,101.0,110.0
206.0,William,Gietz,WGIETZ,515.123.8181,2002-06-07,AC_ACCOUNT,8300.0,,205.0,110.0
